"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"LRSAM1",0.170741862588316,6.34188347206069,0.658131388061605,0.515586202728726,0.71348797751349,-5.92092423838348,"NOT"
"SDC4",-0.148010478980469,12.2185208218745,-0.616217653031228,0.542503862877342,0.741695269108331,-5.94688957468162,"NOT"
"PLXNA1",-0.133629596501125,11.3861138659336,-0.609635264751002,0.546797242189354,0.741695269108331,-5.95081639552246,"NOT"
"CRIM1",-0.110424661490246,10.3950964358988,-0.595763130695043,0.555902963643247,0.746653980579655,-5.95895749058935,"NOT"
"RLN2",-0.193280552072109,5.89340026567576,-0.571892658272953,0.571751748341523,0.760485335172706,-5.97253831868693,"NOT"
"S100A14",0.14287001054595,13.4449655493285,0.555165013635257,0.582991190886929,0.764134049611736,-5.98173199776784,"NOT"
"BACH2",0.12810624633782,6.83662730549032,0.542382054924026,0.591652621940067,0.764134049611736,-5.98857765358388,"NOT"
"FAS",0.139894580175397,9.6538063735988,0.538085353322607,0.594577869754601,0.764134049611736,-5.9908436050379,"NOT"
"IL33",0.340256565950478,8.35431859870182,0.529745683475772,0.600275375622842,0.764134049611736,-5.99519130014543,"NOT"
"CRABP2",0.191377263573441,10.2762731764068,0.526670168895394,0.602383046409252,0.764134049611736,-5.99677784973952,"NOT"
"IL1R1",0.0865917681349249,11.2013940125659,0.495827367389582,0.623710972736948,0.782701483471851,-6.01218719303551,"NOT"
"S100A16",0.0629957137778785,14.1639594664541,0.489045444131661,0.628446446583238,0.782701483471851,-6.01545303055231,"NOT"
"PML",-0.101545588702205,8.55252806950487,-0.445365189831673,0.659325501535555,0.793960674504613,-6.03542632180604,"NOT"
"ANOS1",-0.169572408372005,9.10693083423587,-0.443151821167197,0.660907197368948,0.793960674504613,-6.03638943034121,"NOT"
"CXCL16",-0.089430285915288,9.3402004750208,-0.440478323688544,0.662819831459994,0.793960674504613,-6.03754644628289,"NOT"
"DUOX1",0.159668853001849,10.5176486779235,0.434397012626612,0.667179038478498,0.793960674504613,-6.04015254918978,"NOT"
"NOD1",-0.0965136463351381,8.74823797841021,-0.42441173829761,0.674362322950603,0.793960674504613,-6.04435411910642,"NOT"
"IL1RN",0.0799908110356871,14.3658542755293,0.421272494896991,0.676627162776689,0.793960674504613,-6.04565511167336,"NOT"
"TEC",-0.104975015584011,3.70411097050937,-0.419296969502064,0.67805400669372,0.793960674504613,-6.04646893670856,"NOT"
"NFATC1",0.0925270423339288,8.2117526603386,0.402588436448939,0.69017006906254,0.80129914797939,-6.05320091898147,"NOT"
"FYN",-0.0966619926938108,9.40993923691862,-0.393019398430452,0.697147043143916,0.802597856392575,-6.05693449617299,"NOT"
"IGF2",-0.0662139478466184,7.53521470288111,-0.364588828194796,0.718033727272414,0.808376602411853,-6.06750298131463,"NOT"
"IL25",0.135193792266593,4.88589152512421,0.364320300349209,0.718232094367196,0.808376602411853,-6.06759905683784,"NOT"
"PSMD3",0.0941293762210247,10.1349231884365,0.362106526368556,0.719868215286468,0.808376602411853,-6.06838844226534,"NOT"
"IFNE",0.202484024391444,6.99317522818388,0.353640813431243,0.726137317989405,0.808787094020719,-6.0713631641234,"NOT"
"LTBP4",0.0713804170015759,8.06581754986616,0.296936525002527,0.76860756085098,0.847327652563884,-6.0894878020631,"NOT"
"SEMA6C",-0.0772289225411575,3.73269880047341,-0.290986690685726,0.773109172047339,0.847327652563884,-6.09120765668827,"NOT"
"REG1A",0.124416711693992,3.60247021004369,0.24097138997177,0.811253723341337,0.882077461093358,-6.10429583274016,"NOT"
"MAPK8",0.0384457948858294,9.84331350092345,0.2160585227914,0.830437616034583,0.890317270082863,-6.10990064135277,"NOT"
"SDC2",0.114148853689388,9.20851554481649,0.214256832330423,0.831829274238003,0.890317270082863,-6.11028236889734,"NOT"
"FASLG",-0.0664767022687167,6.54414607131589,-0.191020135793038,0.849825853848479,0.902528232381718,-6.11491995104059,"NOT"
"FGF2",-0.0961935515689634,6.12419134446052,-0.182374164796886,0.85654369183279,0.902665275239171,-6.11651012477388,"NOT"
"SLURP1",-0.121063020779832,11.6720479111303,-0.171301626514735,0.865162872726855,0.903028036320783,-6.11843929660744,"NOT"
"PSMD4",0.0294714906259816,12.2855700076471,0.162210717507062,0.8722521815386,0.903028036320783,-6.11993309287322,"NOT"
"TAFA2",-0.0658709775116173,2.93130559337636,-0.156562531061064,0.876662254238424,0.903028036320783,-6.12082024976571,"NOT"
"PCSK1",-0.0834713823539843,5.79951713777262,-0.144260263674175,0.886281556237398,0.906123680630772,-6.12264392716,"NOT"
"CCL28",-0.0288062243124783,7.27333458822797,-0.0810314368373727,0.935967324045939,0.949833506624397,-6.12966577375285,"NOT"
"IGLV4-3",0.0255600950502837,5.80199253220223,0.0638287242477685,0.949539605175013,0.956521514036594,-6.13089453212527,"NOT"
"CCK",0.00146674187380835,6.11794183670801,0.00300850578053686,0.997619931253065,0.997619931253065,-6.13289917856798,"NOT"
